,cleanedtext,standardized
12281,many house ,['fireemblem']
12291,oh ,['fireemblem']
12920,holy crap new game look really good ,['fireemblem']
12991,oh fuck going ,['fireemblem']
13244,oh shit switch fire emblem ,['fireemblem']
13286,switch ,['fireemblem']
13412,le pa ,['fireemblem']
13530,new game look like tactic game ,['fireemblem']
13547,let goo ,['fireemblem']
13562,wa going say looked like fire emblem ,['fireemblem']
13671,oh god fire emblem look so good ,['fireemblem']
13729,fire emblem time new anime girlfriend ,['fireemblem']
13766,oh wow graphic beautiful ,['fireemblem']
13785,someday make attempt get ,['fireemblem']
13802,sick dog good god new game look beautiful ,['fireemblem']
13804,look unbelievable ,['fireemblem']
13827,oh ,['fireemblem']
13892,time ,['fireemblem']
13952,finally get hear look intense ,['fireemblem']
14025,ready play game ,['fireemblem']
14048,look amazing ,['fireemblem']
14091,e ,['fireemblem']
14092,fire emblem three house look amazing ,['fireemblem']
14108,bitch new fe game ,['fireemblem']
14144,new fire emblem maybe better review one switch ,['fireemblem']
14194,mi in love ,['fireemblem']
14206,looking excellent suck game ,['fireemblem']
14221,got game ,['fireemblem']
14222,oh god new look direct ,['fireemblem']
14401,new sign fuck ,['fireemblem']
14441,look much dynamic movement map ,['fireemblem']
14462,hat die die man ,['fireemblem']
14463,can move whole troop unit ,['fireemblem']
14482,get waiting war simulator ,['fireemblem']
14522,next absolutely blowing holy wow ,['fireemblem']
14553,oh look ,['fireemblem']
14565,look like getting proper switch ,['fireemblem']
14602,graphic ,['fireemblem']
14607,it looking ,['fireemblem']
14655,not bad looking game ,['fireemblem']
14751,new look really good tho ,['fireemblem']
14788,digging music switch ,"['fireemblem', 'fireemblem']"
14824,holy fuck look good ,['fireemblem']
14860,song man ca ,['fireemblem']
14870,freaking adorable ,['fireemblem']
14902,fire emblem fire waited year half on news ,['fireemblem']
14998,pinpoint moment ,['fireemblem']
15026,music good ,['fireemblem']
15038,man look beautiful ,['fireemblem']
15104,techno fantasy ,['fireemblem']
15105,look best love tactic game switch perfect ,['fireemblem']
15152,it looking ,['fireemblem']
15171,join not new ,['fireemblem']
15173,digging music switch ,"['fireemblem', 'fireemblem']"
15175,not biggest fan fire emblem okay ,['fireemblem']
15208,not big fire emblem fan cool see kind stuff make next universe ,['fireemblem']
15311,coming sprint ,['fireemblem']
15343,switch revealed ,['fireemblem']
15354,spring ,['fireemblem']
15405,not crying ,['fireemblem']
15415,de para para ,['fireemblem']
15420,look good ,['fireemblem']
15440,music though ,['fireemblem']
15513,fire emblem three house switch ,['fireemblem']
15519,love character still hate cheer though ,['fireemblem']
15535,look lit ,['fireemblem']
15572,three house march spring ,['fireemblem']
15601,ca drop on me then not go detail ,['fireemblem']
15602,love party amp finally news ,"['marioparty', 'fireemblem']"
15617,so new kidding look unbelievable so far winning ,"['fireemblem', 'fireemblem']"
15620,glad hear new trailer ,['fireemblem']
15641,think heard trailer ,['fireemblem']
15671,new coming jan ,['fireemblem']
15679,three house beautiful tactical graphic strange though lead entire army ,['fireemblem']
15736,fire emblem three house spring direct ,['fireemblem']
