,cleanedtext,label
1389,three house march spring ,0
1426,three house march spring ,0
1384,three house march spring ,0
1343,three house march spring ,0
963,three house march spring ,0
1423,three house march spring ,0
666,three house march spring ,0
751,three house march spring ,0
947,three house march spring ,0
1466,three house march spring ,0
545,three house march spring ,0
474,three house march spring ,0
874,three house march spring ,0
221,three house march spring ,0
984,hear look amazing wait ,0
860,three house march spring ,0
661,three house march spring ,0
182,three house march spring ,0
1047,look awesome ,0
1490,three house march spring ,0
1416,wrap ,0
1146,hear look amazing wait ,0
460,three house march spring ,0
1224,hear look amazing wait ,0
1407,three house spring ,0
346,three house march spring ,0
1524,three house spring ,0
620,three house march spring ,0
1206,three house march spring ,0
757,three house march spring ,0
112,three house march spring ,0
1137,three house march spring ,0
1164,three house march spring ,0
1314,three house march spring ,0
995,three house march spring ,0
1254,hear look amazing wait ,0
881,three house march spring ,0
1393,three house march spring ,0
814,three house march spring ,0
775,three house march spring ,0
1512,three house spring ,0
45,fire emblem fire waited year half on news ,1
104,three house march spring ,0
305,three house march spring ,0
610,three house march spring ,0
967,three house march spring ,0
1151,three house march spring ,0
91,join not new ,1
186,three house march spring ,0
844,make debut fire emblem fan everywhere excited next ,0
872,three house march spring ,0
532,three house march spring ,0
780,three house march spring ,0
999,new fire emblem switch so excited ,0
1201,three house march spring ,0
43,song man ca ,0
1418,three house march spring ,0
29,new sign fuck ,1
522,three house spring ,0
8,let goo ,0
1021,hear look amazing wait ,0
1240,hear look amazing wait ,0
498,three house march spring ,0
1255,three house march spring ,0
1381,three house march spring ,0
1550,three house march spring ,0
619,three house march spring ,0
1489,three house march spring ,0
499,three house march spring ,0
1549,three house march spring ,0
1268,three house march spring ,0
12,oh wow graphic beautiful ,0
49,techno fantasy ,0
258,three house march spring ,0
1312,three house march spring ,0
940,new fire emblem switch so excited ,0
397,three house march spring ,0
48,man look beautiful ,0
385,three house march spring ,0
343,three house march spring ,0
557,three house march spring ,0
510,three house march spring ,0
468,three house march spring ,0
1359,three house spring ,0
708,three house march spring ,0
883,three house march spring ,0
450,three house march spring ,0
1460,hype train ,0
1087,three house march spring ,0
1464,three house march spring ,0
771,three house march spring ,0
546,three house march spring ,0
645,three house march spring ,0
812,look beautiful absolutely stunning theme song though spring long away ,0
63,fire emblem three house switch ,0
769,three house march spring ,0
103,three house march spring ,0
22,fire emblem three house look amazing ,0
102,three house march spring ,0
815,three house march spring ,0
830,three house march spring ,0
953,hear look amazing wait ,0
622,three house march spring ,0
1264,three house march spring ,0
802,make debut fire emblem fan everywhere excited next ,0
97,actually look like good fire emblem positively excited ,0
726,three house march spring ,0
231,three house march spring ,0
1285,three house march spring ,0
807,three house march spring ,0
402,three house march spring ,0
586,three house march spring ,0
1084,three house march spring ,0
962,three house march spring ,0
571,three house march spring ,0
