,cleanedtext,standardized
987,pausing real quick on conference catch live ,['marioparty']
8600,just announced ,['marioparty']
8660,party holy shit ,['marioparty']
8695,party switch 3ds switch ,"['pokemonletsgo', 'marioparty']"
8882,direct ,['marioparty']
9211,just announced ,['marioparty']
9268,please be real party ,['marioparty']
9304,oh crazy ,['marioparty']
9328,super can change field damn it ,['marioparty']
9342,ad is bit unrealistic all be cussing each other out ,['marioparty']
9369,please be online ,['marioparty']
9374,das den ,['marioparty']
9466,see one is fucking playable ,['marioparty']
9498,new is announced can combine more is dope ,['marioparty']
9572,another game has more gimmicks oh boy ,['marioparty']
9609,un fun ,"['marioparty', 'marioparty']"
9640,11 super party ,['marioparty']
9648,now can get kicked in nuts by bs on switch too ,['marioparty']
9726,super party is is party 10 or 11 now keep losing track either way excited ,['marioparty']
9767,is really unique can be played multiple consoles ,['marioparty']
9843,da is so ,['marioparty']
9903,switchs cote cote super ,['marioparty']
9957,baby is two screens ,"['marioparty', 'marioparty']"
10096,is ,['marioparty']
10100,va para ,['marioparty']
10113,yeah ,['marioparty']
10159,switch ooh can combine multiple systems go screen screen ,['marioparty']
10173,am so excited have stars coin separate again ,['marioparty']
10176,thing is new ,['marioparty']
10186,wait now is crazy ,['marioparty']
10231,oh damn ,['marioparty']
10290,new party leap switch finally happening it had know ,['marioparty']
10353,have no friends ,['marioparty']
10359,party ,['marioparty']
10405,is really unique can be played multiple consoles ,['marioparty']
10407,cant believe it loved party games ,['marioparty']
10410,year old is having meltdown over ,['marioparty']
10441,oh god here comes just sounds like too long in tooth looks ,"['marioparty', 'marioparty']"
10452,wait is insane ,['marioparty']
10461,party is an excellent addition switch library direct ,['marioparty']
10488,presents new way ruin friendships ,['marioparty']
10521,de sa switch fun ,['marioparty']
10578,party has evolved it seems ,['marioparty']
10583,actually looks fun ,['marioparty']
10588,party ,['marioparty']
10591,know is its combat ,['marioparty']
10594,be life party ,"['marioparty', 'pokemonletsgo']"
10653,screen manipulation is smart but never been party games not me but ok ,['marioparty']
10678,handle feelings rn ,['marioparty']
10681,pretty cool way play ,['marioparty']
10684,looks great ,['marioparty']
10687,sounds like fun but be picking it up ,['marioparty']
10706,dead have won all go home thanks ,['marioparty']
10710,multiple switches ,['marioparty']
10730,yay games wanted announced has been announced ,['marioparty']
10760,transfer characters on switches ,['marioparty']
10825,looks like jam love all screen screen innovation ,['marioparty']
10860,oh so now have super totally makes game worth ,['marioparty']
10875,is be fun sure but more interested in combining switches based on proximity ,['marioparty']
10918,wait ruin some friendships ,['marioparty']
10929,finally no one in in ,['marioparty']
10975,spoilers will win by doing ,['marioparty']
10982,only have switch friends play ,['marioparty']
11007,want party ready get pissed at friends on go ,['marioparty']
11041,party switch take money ,['marioparty']
11045,down ,['marioparty']
11070,an expected surprise but welcome one be sure ,['marioparty']
11134,is kind party news ,['marioparty']
11136,october ,['marioparty']
11147,dead have won all go home thanks ,['marioparty']
11159,finally got right ,['marioparty']
11178,wait nuts can connect switches together like ,['marioparty']
11187,oh wow did come party about be lit again ,['marioparty']
11192,oh god there is new rip friendship ,['marioparty']
11250,super party yes ,['marioparty']
11258,oh god no not game destroys friendships tells ,['marioparty']
11288,aus ,['marioparty']
11296,expect see it must be fun have friends can play ,['marioparty']
11338,thank god ditched all ride in stupid car last two ,['marioparty']
11365,destroy friendships in new coming october 5th ,['marioparty']
11377,friendship ruined is back ,['marioparty']
11381,party announcement direct ,['marioparty']
11388,super aus ,['marioparty']
11418,revealed at launching october ,['marioparty']
11431,trailer is so but in good way ,['marioparty']
11452,dear thank getting rid terrible car ,['marioparty']
11482,new salt mine ,['marioparty']
11484,who likes rock party super is coming on october 5th ,['marioparty']
11515,in is absolute witchcraft listen any other explanation ,['marioparty']
11517,are about get smashed pieces ,['marioparty']
11548,announced coming october switch stay tuned local info it looks so fun ,['marioparty']
11575,just let me know can steal stars ,['marioparty']
11582,who likes rock party super is coming on ,['marioparty']
11583,con ,['marioparty']
11619,new look dope ,['marioparty']
11633,great marketing in one helps attract millennial crowd ,['marioparty']
11635,ooh bike motion control looked uncomfortable ,['marioparty']
11649,october release date ,['marioparty']
11650,using screen patent smart ,['marioparty']
11678,who likes rock party super is coming on october 5th ,['marioparty']
11689,party combinable switches no gimmick finally ,['marioparty']
11716,who likes rock party super is coming on october 5th ,['marioparty']
11728,who likes rock party super is coming on october 5th ,['marioparty']
11730,who likes rock party super is coming on ,['marioparty']
11746,looks really good fun actually nice mix games ,['marioparty']
11753,yeah babies ,['marioparty']
11757,un mode online ,['marioparty']
11764,who likes rock party super is coming on ,['marioparty']
11779,who likes rock party super is coming on october 5th ,['marioparty']
11793,oh goodness cooking game ,['marioparty']
11797,who likes rock party super is coming on october 5th ,['marioparty']
11799,is going be an office party ,['marioparty']
11801,who likes rock party super is coming on ,['marioparty']
11820,new coming out november 5th ,['marioparty']
11850,oh were due screens put together ,['marioparty']
11862,who likes rock party super is coming on october 5th ,['marioparty']
11864,who likes rock party super is coming on october 5th ,['marioparty']
11913,was really wondering launch game was not disappointed ,['marioparty']
11922,who likes rock party super is coming on ,['marioparty']
11939,who likes rock party super is coming on october 5th ,['marioparty']
11954,who likes rock party super is coming on october 5th ,['marioparty']
11959,who likes rock party super is coming on ,['marioparty']
11979,looks be some amazing new mini games in party ,['marioparty']
11994,combo switch screens yesss ,['marioparty']
11998,nothing like experience camping outdoors ,['marioparty']
12001,who likes rock party super is coming on ,['marioparty']
12026,two screens ,['marioparty']
12036,aus ,['marioparty']
12045,who likes rock party super is coming on october 5th ,['marioparty']
12058,got rid traveling in dumbass car ,['marioparty']
12062,sent stupid car junk yard ,['marioparty']
12064,who likes rock party super is coming on ,['marioparty']
12076,who likes rock party super is coming on ,['marioparty']
12086,curious know switches need copies game ,['marioparty']
12091,who likes rock party super is coming on ,['marioparty']
12092,who likes rock party super is coming on ,['marioparty']
12108,waggle looks fun ,['marioparty']
12112,super ,['marioparty']
12116,who likes rock party super is coming on october 5th ,['marioparty']
12117,who likes rock party super is coming on october 5th ,['marioparty']
12118,who likes rock party super is coming on ,['marioparty']
12121,connect all screens ,['marioparty']
12130,who likes rock party super is coming on ,['marioparty']
12146,party time out october ,['marioparty']
12152,who likes rock party super is coming on october 5th ,['marioparty']
12153,is coming switch can literally connect multiple switches ,['marioparty']
12156,who likes rock party super is coming on ,['marioparty']
12161,who likes rock party super is coming on ,['marioparty']
12167,who likes rock party super is coming on ,['marioparty']
12173,para ,['marioparty']
12176,super party out october year direct ,['marioparty']
12181,who likes rock party super is coming on ,['marioparty']
12185,super party announced switch ,['marioparty']
12202,okay can play as damn it one weakness ,['marioparty']
