,Tweet,cleanedtext,label
0,RT @NintendoEurope: Who likes to rock the party? Super #MarioParty is coming to #NintendoSwitch on 05/10! 🎉#NintendoE3 https://t.co/Dd1xjk7…,who like rock party super coming ,0
1,#NintendoE3 WHAAA MULTIPLE SWITCHES! #MarioParty!,multiple switch ,0
2,RT @NintendoEurope: Who likes to rock the party? Super #MarioParty is coming to #NintendoSwitch on 05/10! 🎉#NintendoE3 https://t.co/Dd1xjk7…,who like rock party super coming ,0
3,RT @NintendoDE: Jetzt steigt die ultimative Party! „Super #MarioParty“ erscheint am 5.10. für #NintendoSwitch! 🎉 #NintendoE3 https://t.co/e…,die party super ,0
4,"Oh god no, not #MarioParty! That game destroys friendships, I tells ya! #NintendoDirect #E32018",oh god game destroy friendship tell ,0
5,"RT @NinSwitchNews: Get the party started when Super #MarioParty comes to #NintendoSwitch on 10/5!

#NintendoE3 #E32018 https://t.co/RAyojmu…",get party started super come ,0
6,"I know what that is, ITS COMBAT!!! #SuperMarioParty #NintendoDirect #NintendoE3",know it combat ,0
7,"RT @NinSwitchNews: Get the party started when Super #MarioParty comes to #NintendoSwitch on 10/5!

#NintendoE3 #E32018 https://t.co/RAyojmu…",get party started super come ,0
8,"RT @NinSwitchNews: Get the party started when Super #MarioParty comes to #NintendoSwitch on 10/5!

#NintendoE3 #E32018 https://t.co/RAyojmu…",get party started super come ,0
9,RT @NintendoEurope: Who likes to rock the party? Super #MarioParty is coming to #NintendoSwitch on 05/10! 🎉#NintendoE3 https://t.co/Dd1xjk7…,who like rock party super coming ,0
10,Omg love the concept the new #MarioParty game for the Switch. Looking forward to destroying friendships again xD… https://t.co/SP5cImzfxI,love concept new game switch looking forward destroying friendship ,0
11,RT @NintendoUK: Who likes to rock the party? Super #MarioParty is coming to #NintendoSwitch on October 5th! 🎉 #NintendoE3 https://t.co/alZO…,who like rock party super coming october 5th ,0
12,Holy Santa Clause shit #marioparty is coming to switch! Dude #NintendoE3 killed it,holy clause shit coming switch dude killed ,0
13,"RT @NinSwitchNews: Get the party started when Super #MarioParty comes to #NintendoSwitch on 10/5!

#NintendoE3 #E32018 https://t.co/RAyojmu…",get party started super come ,0
14,RT @NintendoEurope: Who likes to rock the party? Super #MarioParty is coming to #NintendoSwitch on 05/10! 🎉#NintendoE3 https://t.co/Dd1xjk7…,who like rock party super coming ,0
15,RT @NintendoEurope: Who likes to rock the party? Super #MarioParty is coming to #NintendoSwitch on 05/10! 🎉#NintendoE3 https://t.co/Dd1xjk7…,who like rock party super coming ,0
16,"RT @NinSwitchNews: Get the party started when Super #MarioParty comes to #NintendoSwitch on 10/5!

#NintendoE3 #E32018 https://t.co/RAyojmu…",get party started super come ,0
17,RT @NintendoUK: Who likes to rock the party? Super #MarioParty is coming to #NintendoSwitch on October 5th! 🎉 #NintendoE3 https://t.co/alZO…,who like rock party super coming october 5th ,0
18,"RT @NinSwitchNews: Get the party started when Super #MarioParty comes to #NintendoSwitch on 10/5!

#NintendoE3 #E32018 https://t.co/RAyojmu…",get party started super come ,0
19,"Faut vraiment mettre un mode online dans #MarioParty. Ça serait énorme. 
#NintendoDirect",un mode online ,0
20,"Et un nouveau #MarioParty!!! Toujours fun ^^ #SuperMarioParty
#NintendoE3 #E3CaroJu
#E3 #E32018 
https://t.co/rLTykI2Zlw",un fun ,0
21,RT @NintendoEurope: Who likes to rock the party? Super #MarioParty is coming to #NintendoSwitch on 05/10! 🎉#NintendoE3 https://t.co/Dd1xjk7…,who like rock party super coming ,0
22,"WHAT DA FUCK?!?!?!?!

THIS IS SO COOOL!!!!!!!!

#MarioParty #NintedoDirect #NintendoE3",da is so ,0
23,Mario Party!!! #SuperMarioParty #Ninte3ndo #NintendoDirect #NintendoE3 #E32018 #E3,party ,0
24,RT @NintendoEurope: Who likes to rock the party? Super #MarioParty is coming to #NintendoSwitch on 05/10! 🎉#NintendoE3 https://t.co/Dd1xjk7…,who like rock party super coming ,0
25,I see rage inducing Mario Party parties in my future!!! #NintendoDirect #SuperMarioParty,see rage inducing party party future ,1
26,"Please be online #SuperMarioParty

#NintendoDirect  #E32018",please online ,1
