,cleanedtext,label
248,like definitely new inventive way play ,0
870,get party started super come ,0
500,who like rock party super coming ,0
72,super party ,0
740,who like rock party super coming ,0
787,die party super ,0
748,encore ,0
659,get party started super come ,0
7,oh crazy ,1
873,die party super ,0
809,get party started super come ,0
59,finally one ,0
406,who like rock party super coming ,0
585,get party started super come ,0
14,another game ha gimmick oh boy ,1
422,who like rock party super coming ,0
487,get party started super come ,0
868,who like rock party super coming ,0
574,die party super ,0
821,buzzing super party ,0
17,now get kicked nut switch ,0
198,uk who like rock party super coming ,0
725,get party started super come ,0
202,announced coming october switch stay tuned local info look so ,0
588,who like rock party super coming october 5th ,0
243,who like rock party super coming ,0
256,who like rock party super coming ,0
783,who like rock party super coming ,0
465,incredibly excited ,0
762,die party super ,0
156,who like rock party super coming ,0
775,get party started super come ,0
522,who like rock party super coming october 5th ,0
432,party getting new iteration switch titled super it releasing october 5th ,0
8,super change field damn ,0
36,oh god come sound like long tooth look ,0
104,who like rock party super coming october 5th ,0
876,get party started super come ,0
197,wa riding bike ,0
527,die party super ,0
799,look amazing ,0
656,get party started super come ,0
852,get party started super come ,0
784,super ,0
71,oh god new rip friendship ,0
450,who like rock party super coming october 5th ,0
196,who like rock party super coming ,0
828,get party started super come ,0
66,october ,0
303,who like rock party super coming october 5th ,0
81,dear thank getting rid terrible car ,1
856,bunch ,0
359,sure hope return form ,0
488,who like rock party super coming ,0
467,who like rock party super coming ,0
778,who like rock party super coming october 5th ,0
439,who like rock party super coming october 5th ,0
736,look amazing ,0
855,die party super ,0
770,who like rock party super coming ,0
617,get party started super come ,0
507,friend become enemy coming october switch ,0
715,get party started super come ,0
57,na fun sure interested combining switch based proximity ,0
310,who like rock party super coming ,0
281,like party coming switch october ,0
726,get party started super come ,0
419,ca wait hate friend ,1
473,super party direct ,0
695,get party started super come ,0
703,who like rock party super coming ,0
506,who like rock party super coming ,0
58,ca wait ruin friendship ,0
179,who like rock party super coming ,0
332,who like rock party super coming ,0
814,who like rock party super coming ,0
722,get party started super come ,0
484,who like rock party super coming october 5th ,0
639,get party started super come ,0
279,basically party station day one purchase ,0
106,who like rock party super coming october 5th ,0
408,who like rock party super coming ,0
620,get party started super come ,0
448,new party game ha announced car ,1
666,who like rock party super coming ,0
136,connect screen ,0
597,friend become enemy coming october switch ,0
810,who like rock party super coming ,0
565,get party started super come ,0
292,come october check trailer ,0
351,look amazing ,0
251,who like rock party super coming ,0
223,who like rock party super coming ,0
427,new new amp new bad far ,1
591,get party started super come ,0
322,who like rock party super coming ,0
560,who like rock party super coming ,0
563,get party started super come ,0
229,super ,0
320,who like rock party super coming ,0
269,who like rock party super coming ,0
602,who like rock party super coming ,0
693,who like rock party super coming october 5th ,0
386,look amazing ,0
744,look good all new feature ,0
132,super ,0
641,get party started super come ,0
571,who like rock party super coming october 5th ,0
358,will first ,0
85,get smashed piece ,0
445,who like rock party super coming october 5th ,0
441,look amazing ,0
881,look amazing ,0
194,way ,0
286,who like rock party super coming ,0
623,who like rock party super coming ,0
613,get party started super come ,0
315,who like rock party super coming ,0
2,party holy shit ,1
364,getting releasing 5th october have look ,0
858,who like rock party super coming ,0
33,really unique can played multiple console ,0
502,get party started super come ,0
312,who like rock party super coming ,0
19,really unique can played multiple console ,0
397,look pretty cool finally ditched cat yay ,0
849,who like rock party super coming ,0
752,who like rock party super coming october 5th ,0
769,get party started super come ,0
25,switch ooh combine multiple system go screen screen ,0
490,get party started super come ,0
404,look amazing ,0
349,who like rock party super coming ,0
677,get party started super come ,0
611,get party started super come ,0
460,who like rock party super coming ,0
21,switch cote cote super ,0
865,para ,0
39,present new way ruin friendship ,0
811,who like rock party super coming october 5th ,0
627,time ruin friendship ,0
808,who like rock party super coming ,0
700,get party started super come ,0
144,para ,0
520,friend become enemy coming october switch ,0
671,get party started super come ,0
853,who like rock party super coming ,0
592,get party started super come ,0
461,who like rock party super coming ,0
339,who like rock party super coming ,0
788,short thought look fucking insane look fun well fan ,1
158,cast an actual party ,0
833,wrap ,0
118,look amazing new mini game party ,0
453,who like rock party super coming ,0
298,knew knew coming october 5th switch thank ,0
864,who like rock party super coming october 5th ,0
505,get party started super come ,0
438,who like rock party super coming ,0
497,who like rock party super coming ,0
705,die party super ,0
464,die party super ,0
790,who like rock party super coming ,0
43,party ,0
773,who like rock party super coming ,0
1,announced ,0
730,die ,0
463,who like rock party super coming ,0
624,get party started super come ,0
262,na breaking controller ,0
26,excited star coin separate ,0
686,super party switch ,0
80,trailer good way ,0
797,who like rock party super coming october 5th ,0
564,are ready new announced kind great gear ,0
48,pretty cool way play ,0
278,who like rock party super coming ,0
707,die party super ,0
544,friend become enemy coming october switch ,0
244,se para ,0
478,yay new party game excited ,0
608,friend become enemy coming october switch ,0
732,get party started super come ,0
532,also getting switch thank bout get even messy ,1
149,look fun ,0
228,just answer question online want care ,0
530,die party super ,0
471,die party super ,0
47,handle feeling rn ,0
851,bunch ,0
539,get party started super come ,0
213,no rolling dice move ,0
54,transfer character switch ,0
584,friend become enemy coming october switch ,0
163,who like rock party super coming ,0
129,who like rock party super coming ,0
470,getting releasing 5th october have look ,0
678,who like rock party super coming october 5th ,0
182,coming october 5th ,0
670,get party started super come ,0
525,friend become enemy coming october switch ,0
817,who like rock party super coming ,0
669,get party started super come ,0
476,game ,1
479,who like rock party super coming october 5th ,0
610,get party started super come ,0
344,love party amp finally news ,0
761,who like rock party super coming ,0
745,toad happy see pom pom need toad ,0
605,get party started super come ,0
508,get party started super come ,0
372,die party super ,0
420,getting releasing 5th october have look ,0
301,also come october ,0
325,who like rock party super coming ,0
704,who like rock party super coming ,0
599,die party super ,0
838,die party super ,0
185,who like rock party super coming ,0
176,who like rock party super coming october 5th ,0
751,get party started super come ,0
697,get party started super come ,0
34,cant believe loved party game ,0
297,so ready new time ,0
759,who like rock party super coming october 5th ,0
636,friend become enemy coming october switch ,0
791,getting releasing 5th october have look ,0
68,finally got right ,0
721,who like rock party super coming ,0
361,who like rock party super coming ,0
168,who like rock party super coming ,0
53,yay game wanted announced ha announced ,1
596,get party started super come ,0
212,look amazing ,0
582,get party started super come ,0
4,direct ,0
443,who like rock party super coming ,0
277,it look like might fixed party ,0
69,wait nut connect switch together like ,0
107,going office party ,0
646,get party started super come ,0
635,get party started super come ,0
148,okay play damn one ,0
399,come october check trailer ,0
642,get party started super come ,0
99,who like rock party super coming ,0
245,look fun another gimmick ,0
543,who like rock party super coming october 5th ,0
710,who like rock party super coming ,0
319,drunk party friend definitely happening place ,1
214,who like rock party super coming october 5th ,0
131,waggle look fun ,0
211,who like rock party super coming ,0
255,who like rock party super coming ,0
569,pumped ,0
402,look amazing ,0
207,who like rock party super coming october 5th ,0
712,who like rock party super coming october 5th ,0
172,know switch need copy game ,1
447,who like rock party super coming october 5th ,0
323,who like rock party super coming october 5th ,0
122,two screen ,0
649,super ,0
845,officially back hq ,0
62,want party ready get pissed friend go ,0
