,cleanedtext,standardized
225,here go 3ds switch ,['pokemonletsgo']
237,it has begun direct switch ,"['pokemonletsgo', 'smashbros']"
6065,les go ,['pokemonletsgo']
6068,go ,['pokemonletsgo']
6212,now time ,['pokemonletsgo']
6280,looks like game is being announced ,['pokemonletsgo']
6339,yes ,['pokemonletsgo']
6398,lets go ,['pokemonletsgo']
6614,go time ,"['pokemonletsgo', 'pokemonletsgo']"
6617,care about new ,['pokemonletsgo']
6655,go games hopefully some new footage ,['pokemonletsgo']
6686,time okay yes do ,['pokemonletsgo']
6700,time check out some ,"['pokemonletsgo', 'pokemonletsgo', 'pokemonletsgo']"
6751,son is pumped direct ,['pokemonletsgo']
6853,yes thank show me more ,['pokemonletsgo']
6888,definitely getting esp its coop ,['pokemonletsgo']
6936,is fucking much ,['pokemonletsgo']
6986,yesss go ,['pokemonletsgo']
6996,does look addictive ,['pokemonletsgo']
7077,body is ready ,['pokemonletsgo']
7109,starting get out way then has got me buy it ,"['pokemonletsgo', 'pokemonletsgo']"
7125,hi ready ,['pokemonletsgo']
7138,ces me ,['pokemonletsgo']
7231,now time ,['pokemonletsgo']
7349,starts talking about get chills ,['pokemonletsgo']
7352,like stuff but know oh wait mew in plus ok kinda cool ,['pokemonletsgo']
7420,mew comes exclusive plus ,['pokemonletsgo']
7424,mythical mew comes exclusive every can join on ,"['pokemonletsgo', 'pokemonletsgo']"
7468,mythical mew comes exclusive every can join on ,['pokemonletsgo']
7472,ultimate weapon ,['pokemonletsgo']
7523,mew kept behind pay wall dirty ,['pokemonletsgo']
7529,get mew every plus ,['pokemonletsgo']
7566,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
7567,talking about direct ,['pokemonletsgo']
7581,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
7598,mythical mew comes exclusive every can join on adventure ,"['pokemonletsgo', 'pokemonletsgo']"
7604,mythical mew comes exclusive every can join on adventure ,"['pokemonletsgo', 'pokemonletsgo']"
7616,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
7617,mythical mew comes exclusive every can join on adventure ,"['pokemonletsgo', 'pokemonletsgo']"
7637,hear screaming ,['pokemonletsgo']
7658,mythical mew comes exclusive every can join on adventure ,"['pokemonletsgo', 'pokemonletsgo']"
7672,still interested in ,['pokemonletsgo']
7686,getting better look at ,"['pokemonletsgo', 'pokemonletsgo']"
7703,boy tell us all secrets ,['pokemonletsgo']
7734,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
7737,mythical mew comes exclusive every can join on adventure ,"['pokemonletsgo', 'pokemonletsgo']"
7741,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
7743,switch ,['pokemonletsgo']
7761,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
7764,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
7770,time ,['pokemonletsgo']
7777,mythical mew comes exclusive every can join on adventure ,"['pokemonletsgo', 'pokemonletsgo']"
7787,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
7790,mythical mew comes exclusive every can join on adventure ,"['pokemonletsgo', 'pokemonletsgo']"
7792,time finally be very best live out dream life ,['pokemonletsgo']
7798,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
7804,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
7809,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
7812,mythical mew comes exclusive every can join on adventure ,"['pokemonletsgo', 'pokemonletsgo']"
7824,mythical mew comes exclusive every can join on adventure ,"['pokemonletsgo', 'pokemonletsgo']"
7838,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
7850,switch will let use go good feature available november 16 ,"['pokemonletsgo', 'pokemonletsgo']"
7866,mythical mew comes exclusive every can join on adventure ,"['pokemonletsgo', 'pokemonletsgo']"
7867,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
7878,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
7890,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
7891,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
7892,more mew awesome ,['pokemonletsgo']
7901,body is ready ,['pokemonletsgo']
7902,ok pour ,['pokemonletsgo']
7907,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
7912,time okay yes do ,['pokemonletsgo']
7913,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
7947,wow can transfer go now there is lets carry ,"['pokemonletsgo', 'pokemonletsgo']"
7954,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
7958,mew included in every plus go direct ,"['pokemonletsgo', 'pokemonletsgo']"
7959,game being never was much mew comes ,['pokemonletsgo']
7966,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
7971,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
7990,mythical mew comes exclusive every can join on adventure ,"['pokemonletsgo', 'pokemonletsgo']"
7994,just reiterated great is going be ,['pokemonletsgo']
7995,but can play ,['pokemonletsgo']
8004,want mew ,['pokemonletsgo']
8006,all about holy shit mew ,['pokemonletsgo']
8011,mew comes ,['pokemonletsgo']
8015,cant wait carry around balls ,['pokemonletsgo']
8024,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
8052,mythical mew comes exclusive every can join on adventure ,"['pokemonletsgo', 'pokemonletsgo']"
8059,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
8072,mythical mew comes exclusive every can join on adventure ,"['pokemonletsgo', 'pokemonletsgo']"
8075,oh man kid is going go bonkers ,['pokemonletsgo']
8079,it nerds mew in here now give me ,['pokemonletsgo']
8096,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
8097,are completely uninteresting me clearly linked go not main ,['pokemonletsgo']
8099,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
8113,lets go but happy who are excited it ,['pokemonletsgo']
8116,mew comes ,['pokemonletsgo']
8131,free mew ,['pokemonletsgo']
8142,go presented by mew comes every plus 16 ,['pokemonletsgo']
8155,new news about lets go new titles will come ,['pokemonletsgo']
8164,is so ahead ,['pokemonletsgo']
8171,out november each plus comes ,"['pokemonletsgo', 'pokemonletsgo']"
8219,mythical mew comes exclusive every can join on adventure ,"['pokemonletsgo', 'pokemonletsgo']"
8231,time comes exclusively ,"['pokemonletsgo', 'pokemonletsgo']"
8239,mythical mew comes exclusive every can join on adventure ,"['pokemonletsgo', 'pokemonletsgo']"
8241,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
8277,now ,['pokemonletsgo']
8280,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
8302,mythical mew comes exclusive every can join on adventure ,"['pokemonletsgo', 'pokemonletsgo']"
8305,got boys girls get free mew ,['pokemonletsgo']
8309,de las ,['pokemonletsgo']
8310,like check out win now ,['pokemonletsgo']
8329,ca me donne switch ,['pokemonletsgo']
8332,mythical mew comes exclusive every can join on adventure ,"['pokemonletsgo', 'pokemonletsgo']"
8338,mythical mew comes exclusive every can join on adventure ,"['pokemonletsgo', 'pokemonletsgo']"
8339,yay mew ,['pokemonletsgo']
8344,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
8382,better get in ,['pokemonletsgo']
8394,get mew buy plus go ,['pokemonletsgo']
8422,november 16th nice ,['pokemonletsgo']
8426,mythical mew comes exclusive every can join on adventure ,"['pokemonletsgo', 'pokemonletsgo']"
8436,mythical mew comes exclusive every can join on adventure ,"['pokemonletsgo', 'pokemonletsgo']"
8446,die kinder den in den ,['pokemonletsgo']
8473,mythical mew comes exclusive every can join on adventure ,"['pokemonletsgo', 'pokemonletsgo']"
8491,hate motion control is required lets go but so whatever ,['pokemonletsgo']
8497,did he just shake it check theres in there ,['pokemonletsgo']
8522,yes will arrive on november 16th ,['pokemonletsgo']
8525,just reiterated great is going be ,['pokemonletsgo']
8534,mythical mew comes exclusive every can join on adventure ,"['pokemonletsgo', 'pokemonletsgo']"
8548,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
8555,so ready game ,['pokemonletsgo']
8585,pretty cool about mew ,['pokemonletsgo']
8615,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
8654,so excited ,['pokemonletsgo']
8656,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
8671,seriously excited ,['pokemonletsgo']
8673,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
8695,party switch 3ds switch ,"['pokemonletsgo', 'marioparty']"
8700,mythical mew comes exclusive every can join on adventure ,"['pokemonletsgo', 'pokemonletsgo']"
8704,more info about right now can play entire game plus comes ,['pokemonletsgo']
8793,mew buying plus as it sell like crazy already ,['pokemonletsgo']
8810,free mew guess buying poke ball plus ruthless ,['pokemonletsgo']
8815,mythical mew comes exclusive every can join on adventure ,"['pokemonletsgo', 'pokemonletsgo']"
8817,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
8841,now he shows us more comes exclusively mew ,['pokemonletsgo']
8845,mythical mew comes exclusive every can join on adventure ,"['pokemonletsgo', 'pokemonletsgo']"
8871,but can go behind ss anne use strength in truck ,['pokemonletsgo']
8883,course accessory new game mean not proper ,['pokemonletsgo']
8914,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
8928,mythical mew comes exclusive every can join on adventure ,"['pokemonletsgo', 'pokemonletsgo']"
8949,alright each ball plus comes mew inside ,['pokemonletsgo']
9015,mythical mew comes exclusive every can join on adventure ,"['pokemonletsgo', 'pokemonletsgo']"
9053,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
9113,mythical mew comes exclusive every can join on adventure ,"['pokemonletsgo', 'pokemonletsgo']"
9115,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
9140,mythical mew comes exclusive every can join on adventure ,"['pokemonletsgo', 'pokemonletsgo']"
9153,get mew buy plus go ,['pokemonletsgo']
9191,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
9209,confirms free mew in comes all ,['pokemonletsgo']
9212,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
9269,forget whiners go looks adorable ,['pokemonletsgo']
9298,why am so excited go wait ,['pokemonletsgo']
9350,is no trainer purchase me accessory not interested in but game ,['pokemonletsgo']
9364,mythical mew comes exclusive every can join on adventure ,"['pokemonletsgo', 'pokemonletsgo']"
9370,more info about right now can play entire game plus comes ,['pokemonletsgo']
9389,mythical mew comes exclusive every can join on adventure ,"['pokemonletsgo', 'pokemonletsgo']"
9412,cheat ,['pokemonletsgo']
9420,mythical mew comes exclusive every can join on adventure ,"['pokemonletsgo', 'pokemonletsgo']"
9473,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
9483,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
9505,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
9507,will be available very soon weird controller is only create ,['pokemonletsgo']
9510,at least mew on go not like real mew can put bank ,['pokemonletsgo']
9560,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
9602,mythical mew comes exclusive every can join on adventure ,"['pokemonletsgo', 'pokemonletsgo']"
9636,ok will probably love go ,['pokemonletsgo']
9638,mythical mew comes exclusive every can join on adventure ,"['pokemonletsgo', 'pokemonletsgo']"
9668,new included in poke all plus awesome ,['pokemonletsgo']
9679,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
9737,is pretty cool be honest ,['pokemonletsgo']
9740,november 16 ,['pokemonletsgo']
9759,oh great so either do quests on or can just buy get mew ,['pokemonletsgo']
9769,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
9838,mew really ,['pokemonletsgo']
9845,nice now can be real trainer like always wanted be ,['pokemonletsgo']
9856,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
9858,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
9877,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
9886,news mew comes exclusive every in go ,['pokemonletsgo']
9904,mythical mew comes exclusive every can join on adventure ,"['pokemonletsgo', 'pokemonletsgo']"
9938,now be fucking buying plus ,['pokemonletsgo']
9988,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
9999,go ,['pokemonletsgo']
10006,promise is ,['pokemonletsgo']
10053,awesome looks at plus poke ball plus ,['pokemonletsgo']
10112,really do not like idea getting buying peripheral ,['pokemonletsgo']
10114,definitely getting just have mew ,['pokemonletsgo']
10188,not nostalgic are comes out november 16th ,['pokemonletsgo']
10362,news mew comes exclusive every in go ,['pokemonletsgo']
10370,free mew every plus forget in store ,['pokemonletsgo']
10393,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
10415,okay looks good enough tempt me not even super like some other people ,['pokemonletsgo']
