,cleanedtext,standardized
212,ladies smash fighter ,['smashbros']
237,it has begun direct switch ,"['pokemonletsgo', 'smashbros']"
251,here go ,['smashbros']
266,live stream ,['smashbros']
703,its happening ,['smashbros']
1151,ver ,['smashbros']
1970,release super smash battle ,['smashbros']
2180,dare disappoint me ,['smashbros']
2453,bring good luck timeline ,"['smashbros', 'smashbros']"
3150,started go ,['smashbros']
3371,star fox will show new characters on online ,['smashbros']
4422,already bet rex is be in seeing more just lays idea on thicker ,['smashbros']
5211,daddy ,['smashbros']
5590,ladies smash fighter ,['smashbros']
7035,ladies smash fighter ,['smashbros']
7093,boom ,['smashbros']
7163,ladies smash fighter ,['smashbros']
7224,chicos leak ,['smashbros']
8538,see on other side fans direct ,['smashbros']
8647,ladies smash fighter ,['smashbros']
9167,ladies smash fighter ,['smashbros']
9530,ladies smash fighter ,['smashbros']
10506,party switch ,['smashbros']
11176,ladies smash fighter ,['smashbros']
11975,low res high quality feelings ,['smashbros']
12317,all came in entire is ,['smashbros']
12649,ladies smash fighter ,['smashbros']
13629,ladies smash fighter ,['smashbros']
14475,ladies smash fighter ,['smashbros']
15100,wow lots games glad get out way now ,['smashbros']
15835,ladies smash fighter ,['smashbros']
17929,ladies smash fighter ,['smashbros']
19729,ladies smash fighter ,['smashbros']
20382,para ,['smashbros']
22193,love super smash season ,['smashbros']
22684,ladies smash fighter ,['smashbros']
23154,huge leak is confirmed ,['smashbros']
23494,alright but ,['smashbros']
23808,same but ,['smashbros']
24181,huge leak confirmed ,['smashbros']
24522,oh wow look at leaked partial selection screen presentation ,['smashbros']
24562,ladies smash fighter ,['smashbros']
25390,ladies smash fighter ,['smashbros']
25889,ladies smash fighter ,['smashbros']
26267,definitely saving end ,['smashbros']
27097,dragon ball switch ,['smashbros']
27357,still calling crash in ,['smashbros']
28105,ladies smash fighter ,['smashbros']
28497,ver ,['smashbros']
28904,time lots news ,['smashbros']
28944,hope in time ,['smashbros']
29218,so characters is going be in ,"['smashbros', 'fireemblem']"
29230,just screamed ,['smashbros']
29261,yay time ,['smashbros']
29276,folks ,['smashbros']
29295,super smash ,['smashbros']
29298,ladies smash fighter ,['smashbros']
29368,super smash news ,['smashbros']
29423,smash ,['smashbros']
29483,now getting look at on switch ,['smashbros']
29532,its time ,['smashbros']
29554,place ,['smashbros']
29588,time ,['smashbros']
29591,news finally cool ,['smashbros']
29647,was quick ,['smashbros']
29683,oh here it is ,['smashbros']
29802,here go ,['smashbros']
29829,time ,['smashbros']
29888,papa ,['smashbros']
29898,bitch smash ,['smashbros']
29914,nous attends ,['smashbros']
29964,mr is here talk about recently announced super game ,['smashbros']
29983,here go ,['smashbros']
30015,time smash ,['smashbros']
30020,happening ,['smashbros']
30023,finally smash news ,['smashbros']
30027,time ,['smashbros']
30136,time ,['smashbros']
30156,time ruin all friendships ,"['smashbros', 'marioparty']"
30157,mr is here talk about recently announced super game ,['smashbros']
30165,here go ,['smashbros']
30175,happening ,['smashbros']
30178,mr is here talk about recently announced super game ,['smashbros']
30188,oh boy here go ,['smashbros']
30190,there better be battle mode in not kidding want make hunger games situation in ,['smashbros']
30204,time ,['smashbros']
30227,mr is here talk about recently announced super game ,['smashbros']
30244,time ,['smashbros']
30300,ready yesssss ,['smashbros']
30320,here go ,['smashbros']
30344,mr is here talk about recently announced super game ,['smashbros']
30397,big daddy ,['smashbros']
30419,time smash bring it on wait see it ,['smashbros']
30464,here go ,['smashbros']
30470,here it comes ,['smashbros']
30475,roster in video ,['smashbros']
30488,so super ,['smashbros']
30513,who is coming ,['smashbros']
30514,go smash ,['smashbros']
30517,super ,['smashbros']
30539,nous attends ,['smashbros']
30545,mr is here talk about recently announced super game ,['smashbros']
30583,somewhere has just started vibrating at frequency audible only dogs ,['smashbros']
30624,yes tell us about right now love ,['smashbros']
30630,ladies smash fighter ,['smashbros']
30639,smash massive boner soccer guy ,['smashbros']
30642,here go ,['smashbros']
30654,mr is here talk about recently announced super game ,['smashbros']
30657,here ,['smashbros']
30677,oh time ,['smashbros']
30691,who ,['smashbros']
30696,its new smash ,['smashbros']
30725,enhanced port ,['smashbros']
30738,already talking about 15 minutes in was fast ,['smashbros']
30757,now all fans have been waiting ,['smashbros']
30759,here go ,['smashbros']
30779,alright time dive ,['smashbros']
30780,here go ,['smashbros']
30784,going be same game as last times overgrown children are going buy it anyway ,['smashbros']
30794,strap in time ,['smashbros']
30821,fighter roster here go ,['smashbros']
30845,end dead ,['smashbros']
30850,character reveal who will it be ,['smashbros']
30858,finally smash ,['smashbros']
30885,pop vinyl gears in ,['smashbros']
30892,super smash ,['smashbros']
30915,fighter roster video ,['smashbros']
30940,go ,['smashbros']
30952,mr is here talk about recently announced super game ,['smashbros']
30955,so brand new smash or port ,['smashbros']
30975,is inevitably going come one games can never say no even though ,['smashbros']
30992,mr is here talk about recently announced super game ,['smashbros']
31004,have gone back in time ,['smashbros']
31031,para ,['smashbros']
31035,mr is here talk about recently announced super game ,['smashbros']
31038,here it comes ,['smashbros']
31051,here ,['smashbros']
31053,now been waiting super smash course ,"['smashbros', 'smashbros']"
31066,time ,['smashbros']
31079,mr is here talk about recently announced super game ,['smashbros']
31083,mr is here talk about recently announced super game ,['smashbros']
31096,on edge seat more info on ,['smashbros']
31104,finally smash ,['smashbros']
31141,para ,['smashbros']
31169,time ,['smashbros']
31170,roster ,['smashbros']
31199,super smash ,['smashbros']
31201,body is ready ,['smashbros']
31204,skipping lot numbers is concerning ,['smashbros']
31240,super smash showcase video is now on ,['smashbros']
31273,is in was worried about ,['smashbros']
31280,me va ,['smashbros']
31303,game is gorgeous ,['smashbros']
31328,yeah time big reveal has been waiting ,['smashbros']
31354,mr is here talk about recently announced super game ,['smashbros']
31370,here go ,"['smashbros', 'smashbros']"
31406,time ,['smashbros']
31409,just kidding doing so well happening ,['smashbros']
31427,go time find out roster ,['smashbros']
31440,is brilliant hype generation showing all old characters first ,['smashbros']
31461,is whole new lighting engine ,['smashbros']
31467,roster time ,['smashbros']
31471,holy shit smash looks incredible ,['smashbros']
31480,link confirmed ,['smashbros']
31504,now look at fighter roster ,['smashbros']
31529,mr is here talk about recently announced super game ,['smashbros']
31592,end twitter feed ,['smashbros']
31598,boys are excited ,['smashbros']
31622,link ,['smashbros']
31642,so many smash fans just got boners ,['smashbros']
31649,here go ,['smashbros']
31673,yeah ,['smashbros']
31690,happening ,['smashbros']
31734,shut up tell us ,['smashbros']
31741,is in was worried about ,['smashbros']
31744,new battlefield holy shit game looks clean ,['smashbros']
31774,smash battle ,['smashbros']
31779,shit ,['smashbros']
31810,so excited ,"['smashbros', 'smashbros']"
31814,mr is here talk about recently announced super game ,['smashbros']
31836,ladies smash fighter ,['smashbros']
31840,finally smash ,['smashbros']
31846,breath wild link ,['smashbros']
31859,mr is here talk about recently announced super game ,['smashbros']
31881,confirmed ,['smashbros']
31892,soccer ,['smashbros']
31896,beau tout ,['smashbros']
31902,nous attends ,['smashbros']
31904,mr is here talk about recently announced super game ,['smashbros']
31906,more guys more more more ,"['smashbros', 'smashbros']"
31922,look at expressions ,['smashbros']
31940,link has new moves ,['smashbros']
31954,fire emblem characters ,['smashbros']
31959,god it looks glorious ,['smashbros']
31976,oh main looks so pretty ,['smashbros']
32001,smash but ,['smashbros']
32004,bringing back brawl style kinda liked less look smash but complain ,['smashbros']
32034,ma boy ,['smashbros']
32039,roster showcase right off bat is smart who ,['smashbros']
32060,ice climbers return ,['smashbros']
32099,here roster montage ,['smashbros']
32109,fucking ,['smashbros']
32138,please please please please please please ,['smashbros']
32164,mr is here talk about recently announced super game ,['smashbros']
32193,mr is here talk about recently announced super game ,['smashbros']
32194,have gone back in time ,['smashbros']
32201,or bust ,['smashbros']
32225,cute ,['smashbros']
32241,smash smash smash smash ,['smashbros']
32257,fighter roster video looking lot like some bonus costumes ,['smashbros']
32320,baby returns ,['smashbros']
32458,port ,['smashbros']
32472,link not looking any different previous links as most have speculated ,['smashbros']
32493,mr is here talk about recently announced super game ,['smashbros']
32498,ice climbers are back ,['smashbros']
32544,die ice climbers ,['smashbros']
32545,character direct ,['smashbros']
32574,breath wild link ,['smashbros']
32607,all new smash baby ,['smashbros']
32633,back ,['smashbros']
32638,ice climbers are back ,['smashbros']
32650,looks very different ,['smashbros']
32651,video some fighters is playing are toying us showing us just ,['smashbros']
32660,new info on on roster now link donkey fox ,['smashbros']
32672,ice climbers are back ,['smashbros']
32682,ice climbers are back ,['smashbros']
32701,so far it does kind look like port though nice see knight back ,['smashbros']
32712,boones surprise ice climbers are back ,['smashbros']
32778,oh wow in love ,['smashbros']
32795,ok link super cool aus ,['smashbros']
32804,already classic smash roster please just finish job murder me ,['smashbros']
32823,ice climberssssssss ,['smashbros']
32840,game looks pretty ,['smashbros']
32852,version link confirmed not surprising now version ,['smashbros']
32869,looks like port smash me is not unexpected ,['smashbros']
32871,he looks amazing ,['smashbros']
32875,mr is here talk about recently announced super game ,['smashbros']
32896,la version ,['smashbros']
32919,ice climbers ,['smashbros']
32941,sonic ,['smashbros']
32946,yay ice climbers are back ,['smashbros']
33011,link between worlds ice climbers ,['smashbros']
33080,is up design ,['smashbros']
33095,fuck not have brought back sonic or ice climbers but whatever ,['smashbros']
33105,snake is back ,['smashbros']
33114,back ice climbers ,['smashbros']
33126,looks amazing ,['smashbros']
33144,trainer is back baby ike ,['smashbros']
33179,fit trainer in gets me excited loser ,['smashbros']
33200,inklings confirmed ,['smashbros']
33252,showcase now showing us some returning characters climbers are ,['smashbros']
33263,ladies smash fighter ,['smashbros']
33264,crazy inkling is 64th character be introduced series ,['smashbros']
33270,dieses outfit ,['smashbros']
33273,need get new system might as well so can play like am ,['smashbros']
33286,oh goodness trainer red smash ,['smashbros']
33297,mr is here talk about recently announced super game ,['smashbros']
33331,must be some kind wizard ,['smashbros']
33346,oh yeah ice climbers are back ,['smashbros']
33350,ice climbers confirmed switch ,['smashbros']
33392,many characters heads be like ,['smashbros']
33403,yay ice climbers ,['smashbros']
33423,zero suit ,['smashbros']
33454,mr is here talk about recently announced super game ,['smashbros']
33467,is here ,['smashbros']
33507,snake ,['smashbros']
33508,roster is going be huge ,['smashbros']
33519,am so hyped ,['smashbros']
33528,ice climbers starters are ,['smashbros']
33536,but though ,['smashbros']
33539,snake is back direct ,['smashbros']
33547,smash ,['smashbros']
33618,cloud snake are is back ,['smashbros']
33648,absolutely wait ,['smashbros']
33652,wait are holy shit ,['smashbros']
33680,breath wild ,['smashbros']
33697,seriously ,['smashbros']
33721,yes snake is is here ,['smashbros']
33793,entire legacy roster ,['smashbros']
33818,yes is ,['smashbros']
33832,snake snake ,['smashbros']
33837,snake ,['smashbros']
33860,snake ,['smashbros']
33863,snake is back ,['smashbros']
33864,shake ,['smashbros']
33872,holy cow large roster lot characters are making return ,['smashbros']
33877,looking nice new link past look ,['smashbros']
33878,snake ,['smashbros']
33886,confirmed smash in world ,['smashbros']
33899,in smash switch ,"['smashbros', 'smashbros']"
33934,link will have breath wild costume in ice climbers are back too snake snake ,['smashbros']
33939,donkey exclaims year old kid knows classics ,['smashbros']
33946,every damn one is in smash 64 character maybe more ,['smashbros']
33981,coming ,['smashbros']
34009,ice climbers inklings snake spaghetti holy shit ,['smashbros']
34029,ice climbers confirmed switch ,['smashbros']
34032,ocarina time ,['smashbros']
34039,cloud ,['smashbros']
34040,snake is back ,['smashbros']
34056,ice climbers are back ,['smashbros']
34063,classic snake is back is full roster all previous games ,['smashbros']
34110,joining smash ,['smashbros']
34112,snake ,['smashbros']
34124,holy shit ,['smashbros']
34155,solid snake is back ,['smashbros']
34159,is direct ,['smashbros']
34172,ew ,['smashbros']
34183,characters look ,['smashbros']
34188,muss die switch die ,['smashbros']
34196,got nice ,['smashbros']
34201,oh trainer is back but three split fighters like ,['smashbros']
34219,like are inner child ,"['pokemonletsgo', 'smashbros']"
34225,every single ,['smashbros']
34274,le snake ,['smashbros']
34313,ice climbers return ,['smashbros']
34333,le smash ma bite ,['smashbros']
34348,in ,['smashbros']
34355,snake is back ,['smashbros']
34371,is here ,['smashbros']
34372,snake ,['smashbros']
34384,sind allen smash ,['smashbros']
34390,shockingly is here link looks great in thank god sheik is still here ,['smashbros']
34416,snake is shit fuck ,['smashbros']
34418,cloud are back ,['smashbros']
34433,brought back boy ,['smashbros']
34450,wow so many characters in ,['smashbros']
34452,holy bananas red smash ,['smashbros']
34461,ice climbers are back ,['smashbros']
34482,kept us waiting ,['smashbros']
34495,is here ,['smashbros']
34531,yes cloud snake ,['smashbros']
34536,ice climbers are is here is oh snap ,['smashbros']
34579,shake ,['smashbros']
34586,holy cow large roster lot characters are making return ,['smashbros']
34590,whole roster ,['smashbros']
34611,snake on smash ,['smashbros']
34614,is included in super smash switch direct ,['smashbros']
34628,is going on ,['smashbros']
34635,heart ,['smashbros']
34656,thank gave me snake can die happy now ,['smashbros']
34657,every single fighter plus probably more new ones ,['smashbros']
34658,literally is back ,['smashbros']
34664,snake snake ,['smashbros']
34665,definitely port ,['smashbros']
34684,snake is back oh ,['smashbros']
34685,collectors sell possessions ,['smashbros']
34702,snake ,['smashbros']
34703,co snake ,['smashbros']
34730,it looks like putting literally every character ever on switch ,['smashbros']
34733,ever is back even ,['smashbros']
34773,hold on are all characters coming back ,['smashbros']
34776,nice mit allen ,['smashbros']
34782,para ,['smashbros']
34784,yes back holy hell got an improved final smash ,['smashbros']
34818,every single fucking character ,['smashbros']
34833,is back called it ,['smashbros']
34836,is here ,['smashbros']
34844,unbelievable ,['smashbros']
34861,snake ,['smashbros']
34903,snake is ,['smashbros']
34915,is here ,['smashbros']
34934,been out loop while played game 64 but switch ,['smashbros']
34939,snakes back solid snake ,['smashbros']
34954,wow wait siblings be shitty snake on ,['smashbros']
34955,stop can only nut so much ,['smashbros']
34961,can play as cloud finally take money just take it now ,['smashbros']
34990,snake ,['smashbros']
34991,looks like excited about smash ,['smashbros']
35002,super ,['smashbros']
35014,brought snake back brought back ,['smashbros']
35020,64 cheeses ,['smashbros']
35027,yay ,['smashbros']
35029,is in game all people all games wow ,['smashbros']
35045,looks like whole gang is here but is it just port ,['smashbros']
35067,is back ,['smashbros']
35072,hair looks funny also good see sonic is regular now holy shit ice climbers ,['smashbros']
35083,roster ,['smashbros']
35090,is ,['smashbros']
35094,is here like ,['smashbros']
35114,wolf ,['smashbros']
35149,is here ,['smashbros']
35166,all characters back does mean no or at least no current full roster ,['smashbros']
35191,are giving us every character given us before ,['smashbros']
35216,new ice climbers are back trainer snake ,['smashbros']
35218,oh god literally bringing back every fighter ever ,['smashbros']
35248,back ,['smashbros']
35273,game year right here folks ,['smashbros']
35275,toon link kid link ,['smashbros']
